"","player","pitch_type","year","rank","perc","sim_player"
"362",518489,"FF","2018","first","96.8076360274669",650556
"363",518489,"FF","2019","first","96.8637963840498",542888
"364",518489,"FF","2021","first","97.4670019404606",600921
"365",518489,"FF","2022","first","97.3128467214163",625643
"366",643230,"FF","2016","first","94.8241543264123",642028
"367",643230,"FF","2017","first","96.2092757176836",518516
"368",643230,"FF","2018","first","94.9374856658403",518516
"369",643230,"FF","2019","first","93.8883888229829",518516
"370",643230,"FF","2021","first","94.8577494899649",640455
"371",623211,"FF","2022","first","96.1034431935377",570632
"372",605154,"FF","2017","first","97.0689579528985",592390
"373",605154,"FF","2018","first","97.7027356871027",676886
"374",605154,"FF","2019","first","97.0550969227362",686752
"375",605154,"FF","2021","first","97.6794759130738",641816
"376",605154,"FF","2022","first","98.2057035212814",641816
"377",641394,"FF","2021","first","95.275197077032",664076
"378",444520,"FF","2015","first","93.8106255514932",527048
"379",592169,"FF","2018","first","94.1156346330985",663485
"380",592169,"FF","2019","first","92.6244969581271",554340
"381",592169,"FF","2021","first","91.8195110049314",596082
"382",592170,"FF","2017","first","95.0438643519282",605397
"383",689225,"FF","2022","first","96.8179888948709",607259
"384",502010,"FF","2015","first","95.8574029822628",571800
"385",656257,"FF","2018","first","97.6128643747112",594577
"386",656257,"FF","2019","first","96.404162828002",547179
"387",656257,"FF","2022","first","97.6999919554255",594577
"388",458678,"FF","2015","first","95.9609995456931",608566
"389",641401,"FF","2021","first","97.1810342643937",670280
"390",641401,"FF","2022","first","97.0350924162057",598264
"391",605156,"FF","2015","first","96.3579613622361",656412
"392",605156,"FF","2019","first","95.0473274083204",656412
"393",571521,"FF","2017","first","95.1910445673381",656794
"394",571521,"FF","2021","first","96.8984727203403",669373
"395",686613,"FF","2022","first","97.871286472244",663158
"396",455009,"FF","2015","first","95.6342841986127",605288
"397",455009,"FF","2016","first","96.4117025058967",605288
"398",455009,"FF","2017","first","96.6152854892672",592789
"399",664141,"FF","2021","first","95.9496762638545",592836
"400",664141,"FF","2022","first","95.6456511329176",475479
"401",663460,"FF","2021","first","96.8674246185389",674072
"402",663460,"FF","2022","first","97.3817531254621",674072
"403",571527,"FF","2015","first","93.3424127007896",605164
"404",453329,"FF","2015","first","96.581888251446",592826
"405",453329,"FF","2016","first","96.9210619776764",676831
"406",453329,"FF","2018","first","95.3390375677752",656818
"407",453329,"FF","2019","first","95.0332239138107",656818
"408",488748,"FF","2016","first","95.735118889451",669276
"409",488748,"FF","2017","first","97.1211767392885",663558
"410",488748,"FF","2018","first","96.8289284887311",592662
"411",488748,"FF","2019","first","96.8853213316772",641302
"412",488748,"FF","2021","first","96.5983128665185",605488
"413",621111,"FF","2017","first","94.5173763562303",456713
"414",621111,"FF","2018","first","96.6938369937549",663423
"415",621111,"FF","2019","first","96.3831430666208",663423
"416",621111,"FF","2021","first","96.9467564132575",663423
"417",621111,"FF","2022","first","97.0510974144584",518489
"418",279824,"FF","2015","first","90.8428774901739",434671
"419",656266,"FF","2021","first","94.5838744957689",544727
"420",518516,"FF","2015","first","96.5549158558577",592662
"421",518516,"FF","2016","first","96.0874800461907",677053
"422",518516,"FF","2017","first","96.0164538197781",666129
"423",518516,"FF","2018","first","94.1766598510752",593958
"424",518516,"FF","2019","first","97.1015173868106",666129
"425",518516,"FF","2021","first","97.042720986679",666129
"426",518516,"FF","2022","first","97.5629552409682",674072
"427",605164,"FF","2016","first","95.3376898700051",608716
"428",605164,"FF","2017","first","95.4578704161655",689225
"429",605164,"FF","2018","first","96.0976141678646",502202
"430",605164,"FF","2019","first","95.4085001941476",571800
"431",605164,"FF","2021","first","94.9202881060349",607259
"432",605164,"FF","2022","first","94.8360926021702",502179
"433",542609,"FF","2015","first","95.1280221804658",677651
"434",542609,"FF","2016","first","95.0115893368072",663432
"435",656271,"FF","2019","first","95.7962007557903",571578
"436",656271,"FF","2022","first","96.4322625170552",579328
"437",669203,"FF","2018","first","93.5818954445616",605397
"438",669203,"FF","2019","first","93.2249340004573",608717
"439",150359,"FF","2015","first","95.3204170480179",621295
"440",621114,"FF","2018","first","94.2657610432592",592789
"441",621114,"FF","2019","first","94.230885073763",664202
"442",621114,"FF","2021","first","94.7422114283529",517008
"443",663366,"FF","2021","first","97.2410421320547",605194
"444",641427,"FF","2017","first","95.9652942559129",622098
"445",641427,"FF","2018","first","94.9449689116799",606303
"446",456713,"FF","2016","first","93.7555371865627",622098
"447",456713,"FF","2017","first","95.3584117133791",622098
"448",456713,"FF","2018","first","95.498413426319",663423
"449",456713,"FF","2022","first","95.1705614559002",592804
"450",572750,"FF","2015","first","95.8284605229583",656412
"451",572750,"FF","2016","first","95.3606081303032",656412
"452",572750,"FF","2017","first","95.8051755862383",592836
"453",572750,"FF","2018","first","94.4296119414567",503449
"454",621142,"FF","2018","first","96.5362500664896",623211
"455",621142,"FF","2019","first","96.4812103842172",623211
"456",665795,"FF","2021","first","97.0022026302442",592332
"457",665795,"FF","2022","first","97.2924749474815",592332
"458",650893,"FF","2019","first","95.2201746815994",669674
"459",650893,"FF","2021","first","96.4143207642863",669674
"460",650893,"FF","2022","first","97.7002873770606",669674
"461",606291,"FF","2016","first","95.0929115150669",661395
"462",502239,"FF","2016","first","97.0538388287797",669952
"463",502239,"FF","2019","first","94.6820092864969",642545
"464",430912,"FF","2015","first","94.9690909358892",502202
"465",430912,"FF","2016","first","94.8427708847892",502202
"466",430912,"FF","2017","first","92.3909658984825",571800
"467",491708,"FF","2015","first","96.2706861154106",543037
"468",491708,"FF","2016","first","96.3302054233442",682847
"469",669294,"FF","2021","first","95.4989043159166",502202
"470",599998,"FF","2016","first","94.9203428628659",680739
"471",599998,"FF","2017","first","94.9775392929413",548389
"472",656288,"FF","2019","first","97.4414834750226",607259
"473",656288,"FF","2021","first","97.2050214589056",669169
"474",605169,"FF","2015","first","94.0305693356849",621242
"475",605169,"FF","2017","first","93.2306474670065",642207
"476",641438,"FF","2018","first","96.4303685203569",669952
"477",502304,"FF","2015","first","96.3356978267898",663804
"478",543001,"FF","2018","first","93.8511766921023",593958
"479",543001,"FF","2019","first","95.1385218349193",593958
"480",471911,"FF","2015","first","97.3454733088294",663804
"481",471911,"FF","2016","first","96.8781389764375",663804
"482",471911,"FF","2017","first","96.7121886956483",660853
"483",471911,"FF","2018","first","96.6638525071468",518876
"484",471911,"FF","2019","first","96.1099645368991",667297
"485",471911,"FF","2021","first","96.0355663477946",606625
"486",471911,"FF","2022","first","96.3263656735965",518876
"487",606944,"FF","2018","first","97.0065132261478",650556
"488",488768,"FF","2015","first","96.67203103824",676534
"489",488768,"FF","2016","first","95.6804689031823",676534
"490",488768,"FF","2017","first","96.2111235730041",676534
"491",488768,"FF","2018","first","94.2307086290183",641755
"492",488768,"FF","2019","first","95.1722529750046",641755
"493",433586,"FF","2015","first","96.5383232629472",665795
"494",433586,"FF","2016","first","96.2916663939421",676641
"495",433586,"FF","2017","first","97.315196677481",656686
"496",433586,"FF","2018","first","97.0355421101622",608723
"497",641447,"FF","2021","first","94.4483797310187",593958
"498",528748,"FF","2021","first","94.7597452195128",605200
"499",650895,"FF","2018","first","92.8249880077854",623451
"500",620454,"FF","2018","first","94.8328619016107",593958
"501",622491,"FF","2017","first","96.1536080897645",608032
"502",622491,"FF","2018","first","95.6902838457326",608566
"503",622491,"FF","2019","first","94.4654158754542",663574
"504",622491,"FF","2021","first","95.3369390249578",666374
"505",622491,"FF","2022","first","95.4689891856313",666374
"506",666721,"FF","2022","first","95.8918348581145",677161
"507",621593,"FF","2021","first","93.4396432146098",458681
"508",621593,"FF","2022","first","94.7624347338548",458681
"509",665645,"FF","2021","first","95.8023276778508",664139
"510",665645,"FF","2022","first","95.681152085595",592858
